"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm2926",0,NA,NA,NA,NA,NA
"Gucy2d",2.29999617408253,-0.312339920933099,3.04750229511224,-0.102490462905983,0.918367382485223,0.99908871025226
"Gm39053",0,NA,NA,NA,NA,NA
"Gm44507",0.389632389514899,2.46538052604615,4.44856526552904,0.554196775564886,0.57944418481,NA
"Tsku",3.18568705417639,-1.2869780218584,2.63039016554176,-0.489272670920792,0.624648666564601,0.99908871025226
"Acer3",0,NA,NA,NA,NA,NA
"B3gnt6",0,NA,NA,NA,NA,NA
"Gm16938",0,NA,NA,NA,NA,NA
"Omp",0,NA,NA,NA,NA,NA
"Capn5",0,NA,NA,NA,NA,NA
"Myo7a",40.0575582961298,1.45887089875651,1.99345837710702,0.7318291244554,0.464272870204276,0.99908871025226
"Gm19204",0.285695130067469,1.83634526585383,4.50195279767507,0.407899715608339,0.683347301560736,NA
"Gdpd4",0,NA,NA,NA,NA,NA
"Pak1",0.344494331618084,-1.76294393053191,4.53275325769273,-0.388934457780144,0.697324631430896,NA
"Aqp11",0,NA,NA,NA,NA,NA
"Clns1a",0,NA,NA,NA,NA,NA
"Rsf1os2",0,NA,NA,NA,NA,NA
"Rsf1os1",0,NA,NA,NA,NA,NA
"Rpl15-ps5",0,NA,NA,NA,NA,NA
"Ywhaq-ps1",0,NA,NA,NA,NA,NA
"Rsf1",0,NA,NA,NA,NA,NA
